Name,Division Tr,Division Rk,Wins by Kn,Wins by Su,First Roun,Wins by De,Striking ac,Sig. Strike,Takedownr,Sig. Str. La,Sig. Str. At,Submissio,Sig. Str. De,Knockdow,Average Sig,Event_1_H,Event_1_D,Event_1_R,Event_1_Ti,Event_1_M,Event_2_H,Event_2_D,Event_2_R,Event_2_Ti,Event_2_M,Event_3_H,Event_3_D,Event_3_R,Event_3_Ti,Event_3_M,Status,Place_ct,Fighting_s,Age,Height,Weight,Octagon_Reach,Leg_reach,Reach,Trains_at,Fight,Win,Title,Defeat,Former Champion
AJDobson,Middleweight,,0,0,0,0,50.9,299,6,299,587,0,,1,,,,,,,,,,,,,,,,,Active,,,33.0,"6' 1""",185 lbs,,,"76""",Carlson Gracie Team Ohio,,,,,
AJFletcher,Welterweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,28.0,"5' 10""",170 lbs,,,"67""",Gladiators Academy Of Lafayette,,,,,
AkbarhArreola,Lightweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,42.0,"5' 10""",155 lbs,,,"71""",Entram Gym,,,,,
AkihiroGono,,,0,0,0,0,59.2,151,6,151,255,0,,1,,,,,,,,,,,,,,,,,Active,,,50.0,"5' 9""",170 lbs,,,"68""",,,,,,
AkiraCorassani,Featherweight,,0,0,0,0,47.8,155,2,155,324,0,,0,,,,,,,,,,,,,,,,,Active,,,42.0,"5' 8""",145 lbs,,,"68""",Renzo Gracie Jiu-Jitsu,,,,,
AkitoshiTamura,,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,,,,,,"70""",,,,,,
AlanBaudot,Light Heavyweight,,0,0,0,0,62.3,195,0,195,313,0,,1,,,,,,,,,,,,,,,,,Active,,,37.0,"6' 3""",253 lbs,,,"79""",MMA Factory,,,,,
AlanBelcher,Middleweight,,0,0,0,0,49.3,513,4,513,1041,0,,3,,,,,,,,,,,,,,,,,Active,,,41.0,"6' 2""",185 lbs,,,"75""",Remix MMA,,,,,
AlanJouban,Welterweight,,0,0,0,0,52.2,719,4,719,1377,0,,9,,,,,,,,,,,,,,,,,Active,,,43.0,"6' 0""",170 lbs,,,"73.5""",Black House,,,,,
AlanOmer,Featherweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,36.0,"5' 9""",155 lbs,,,"71""",,,,,,
