Name,Division_Title,Division_Record,Status,Age,Height,Weight,Reach,Leg_Reach,Octagon_Reach,Trains_at,Fighting_Style,Total_Fights,Wins,Losses,Draws,Win_Percentage,Title_Defenses,Former_Champion,Fight_Win_Streak,Octagon_Debut,Wins_by_KO_TKO,Wins_by_SUB,Wins_by_DEC,First_Round_Wins,Sig_Strikes_Landed,Sig_Strikes_Attempted,Striking_Accuracy,Striking_Defense,Sig_Strikes_Landed_Per_Min,Sig_Strikes_Absorbed_Per_Min,Average_Sig_Strikes,Sig_Strikes_Head_Pct,Sig_Strikes_Body_Pct,Sig_Strikes_Leg_Pct,Takedowns_Landed,Takedowns_Attempted,Takedown_Accuracy,Takedown_Defense,Takedown_Avg_Per_15_Min,Submissions,Submission_Avg_Per_15_Min,Knockdowns,Knockdown_Avg,Average_Fight_Time,Control_Time,Event_1_Headline,Event_1_Date,Event_1_Result,Event_1_Time,Event_1_Method,Event_2_Headline,Event_2_Date,Event_2_Result,Event_2_Time,Event_2_Method,Event_3_Headline,Event_3_Date,Event_3_Result,Event_3_Time,Event_3_Method,Country,Place_of_Birth,Nickname,Stance,Birth_Date,Team,KO_TKO_Wins,Submission_Wins,Decision_Wins,Total_Control_Time,Total_Advancements,Total_Reversals,Total_Slams,Distance_Strikes,Clinch_Strikes,Ground_Strikes,Head_Strikes,Body_Strikes,Leg_Strikes,UFC_Debut_Date,Title_Fight_Record,Main_Event_Record,Fight_of_Night_Awards,Performance_of_Night_Awards
ShamarBailey,nan Division,nan-nan,Active,42.0,"5' 8""",155 lbs,"75""",,,Integrated Fighting Academy,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,119,334,35.6,64.4,119.0,,,,,,5,0,0,0,75.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShamilAbdurakhimov,Heavyweight Division,nan-nan,Active,43.0,"6' 3""",263 lbs,"76""",,,Peresvet FT,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,317,605,52.4,47.6,317.0,,,,,,5,0,0,0,75.0,0,0.0,2,30.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShamilGamzatov,Light Heavyweight Division,nan-nan,Active,34.0,"6' 2""",206 lbs,"76""",,,Krepost,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,117,225,52.0,48.0,117.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShamilGaziev,Heavyweight Division,nan-nan,Active,35.0,"6' 4""",260 lbs,"78.5""",,,KHK MMA Team,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,197,343,57.4,42.6,197.0,,,,,,3,0,0,0,45.0,0,0.0,2,30.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShanaDobson,Women's Flyweight Division,nan-nan,Active,36.0,"5' 6""",126 lbs,"69""",,,Elevation Fight Team,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,285,598,47.7,52.3,285.0,,,,,,3,0,0,0,45.0,0,0.0,1,15.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShaneBurgos,Featherweight Division,nan-nan,Active,34.0,"5' 11""",156 lbs,"75.5""",,,Team Tiger Schulman,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShaneCampbell,Featherweight Division,nan-nan,Active,,"5' 7""",145 lbs,,,,,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShaneCarwin,Heavyweight Division,nan-nan,Active,50.0,"6' 2""",265 lbs,"80""",,,Grudge Training Center,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,189,346,54.6,45.4,189.0,,,,,,2,0,0,0,30.0,0,0.0,4,60.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShaneDel Rosario,Heavyweight Division,nan-nan,Active,41.0,"6' 4""",244 lbs,,,,Team Oyama,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,66,94,70.2,29.8,66.0,,,,,,1,0,0,0,15.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShaneHowell,Flyweight Division,nan-nan,Active,41.0,"5' 8""",125 lbs,"69.5""",,,R-1 MMA,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShaneNelson,Featherweight Division,nan-nan,Active,,"5' 9""",145 lbs,"70""",,,,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,199,350,56.9,43.1,199.0,,,,,,4,0,0,0,60.0,0,0.0,1,15.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShanePrimm,nan Division,nan-nan,Active,,,185 lbs,,,,,Mixed Martial Arts,,,,0,0,0,No,0,,,,,0,0,0,,0.0,0.0,,,,,,0,0,0,0,0.0,0,0.0,0,0.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
