Name,Division Tr,Division Rk,Wins by Kn,Wins by Su,First Roun,Wins by De,Striking ac,Sig. Strike,Takedownr,Sig. Str. La,Sig. Str. At,Submissio,Sig. Str. De,Knockdow,Average Sig,Event_1_H,Event_1_D,Event_1_R,Event_1_Ti,Event_1_M,Event_2_H,Event_2_D,Event_2_R,Event_2_Ti,Event_2_M,Event_3_H,Event_3_D,Event_3_R,Event_3_Ti,Event_3_M,Status,Place_ct,Fighting_s,Age,Height,Weight,Octagon_Reach,Leg_reach,Reach,Trains_at,Fight,Win,Title,Defeat,Former Champion
Akbarh Arreola,Lightweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,42,"5' 10""",155 lbs,,,"71""",Entram Gym,,,,,
Akihiro Gono,,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,50,"5' 9""",170 lbs,,,"68""",,,,,,
Akira Corassani,Featherweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,42,"5' 8""",145 lbs,,,"68""",Renzo Gracie Jiu-Jitsu,,,,,
Akitoshi Tamura,,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,,,,,,"70""",,,,,,
Alan Baudot,Light Heavyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,37,"6' 3""",253 lbs,,,"79""",MMA Factory,,,,,
Alan Belcher,Middleweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,41,"6' 2""",185 lbs,,,"75""",Remix MMA,,,,,
Alan Jouban,Welterweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,43,"6' 0""",170 lbs,,,"73.5""",Black House,,,,,
Alan Omer,Featherweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,36,"5' 9""",155 lbs,,,"71""",,,,,,
Alan Patrick,Lightweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,41,"5' 11""",156 lbs,,,"74""",Chute Boxe,,,,,
Alatengheili,Bantamweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,33,"5' 5""",136 lbs,,,"66""",Fight Ready,,,,,
Alberta Cerra,Open Weight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,,,238 lbs,,,,,,,,,
Alberto Crane,,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,48,"5' 5""",155 lbs,,,,,,,,,
Alberto Mina,Welterweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,43,"6' 0""",170 lbs,,,"77.5""",Epic MMA,,,,,
Alberto Montes,Featherweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,31,"5' 7""",145 lbs,,,"69""",The Goat Shed,,,,,
Alberto Pereira,,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,40,"6' 3""",185 lbs,,,,,,,,,
Albert Cheng,Welterweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,,"5' 11""",170 lbs,,,,,,,,,
Albert Duraev,Middleweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,36,"5' 11""",186 lbs,,,"75""",Xtreme Couture,,,,,
Albert Morales,Bantamweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,34,"5' 9""",135 lbs,,,"72""",Systems Training Center,,,,,
Albert Tumenov,Welterweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,33,"5' 11""",170 lbs,,,"73""",American Top Team,,,,,
Alejandro Flores,Featherweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,33,"5' 9""",146 lbs,,,"74""",Valle Flow Striking,,,,,
Alejandro Perez,Bantamweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,35,"5' 6""",144 lbs,,,"67""",AKA (American Kickboxing Academy),,,,,
Aleksandar Rakic,Light Heavyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,33,"6' 4""",206 lbs,,,"78""",American Top Team Zagreb,,,,,
Aleksandre Topuria,Bantamweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,29,"5' 7""",135 lbs,,,"68""",Climent Club,,,,,
Aleksa Camur,Light Heavyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,29,"6' 1""",205 lbs,,,"74""",Strong Style Fight Team,,,,,
Aleksei Kunchenko,Welterweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,41,"5' 8""",170 lbs,,,"72""",Boets MMA,,,,,
Aleksei Oleinik,Heavyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,48,"6' 2""",254 lbs,,,"80""",American Top Team,,,,,
Alen Amedovski,Middleweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,37,"5' 10""",185 lbs,,,"74""",Xtreme Couture,,,,,
Alessandro Costa,Flyweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,29,"5' 4""",125 lbs,,,"67""",Brazilian Warriors BJJ,,,,,
Alessandro Ricci,Lightweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,42,"5' 11""",155 lbs,,,"69""",,,,,,
Alessio Di Chirico,Middleweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,35,"6' 0""",186 lbs,,,"74""",Gloria Fight Center,,,,,
Alessio Sakara,Middleweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,43,"6' 0""",205 lbs,,,"72""",American Top Team,,,,,
