Name,Division Tr,Division Rk,Wins by Kn,Wins by Su,First Roun,Wins by De,Striking ac,Sig. Strike,Takedownr,Sig. Str. La,Sig. Str. At,Submissio,Sig. Str. De,Knockdow,Average Sig,Event_1_H,Event_1_D,Event_1_R,Event_1_Ti,Event_1_M,Event_2_H,Event_2_D,Event_2_R,Event_2_Ti,Event_2_M,Event_3_H,Event_3_D,Event_3_R,Event_3_Ti,Event_3_M,Status,Place_ct,Fighting_s,Age,Height,Weight,Octagon_Reach,Leg_reach,Reach,Trains_at,Fight,Win,Title,Defeat,Former Champion,Division_Title,Division_Record,Sig_Str_Landed_Per_Min,Sig_Str_Absorbed_Per_Min,Takedown_Avg_Per_15_Min,Submission_Avg_Per_15_Min,Sig_Str_Defense,Takedown_Defense,Knockdown_Avg,Average_Fight_Time,Win_by_KO_TKO,Win_by_DEC,Win_by_SUB,Sig_Str_Head_Pct,Sig_Str_Body_Pct,Sig_Str_Leg_Pct,Fight_Win_Streak,Title_Defenses,Former_Champion,Octagon_Debut,Fighting_Style
AdamYandiev,Middleweight,,0,0,0,0,0.0,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,36.0,"5' 9""",185 lbs,,,"74""",Fight or Die,,,,,,Middleweight Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
AdlanAmagov,Welterweight,,0,0,0,0,52.8,86,6,86,163,0,,1,,,,,,,,,,,,,,,,,Active,,,40.0,"6' 2""",170 lbs,,,"76""",Jackson-Wink MMA,,,,,,Welterweight Division,nan-nan,86.0,,90.0,0.0,47.2,0,15.0,0,,,,,,,0,0,No,,Mixed Martial Arts
AdliEdwards,Featherweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,35.0,"5' 10""",145 lbs,,,"72""",,,,,,,Featherweight Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
AdrianoMartins,Lightweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,43.0,"5' 10""",155 lbs,,,"72""",Top Life Amazonas,,,,,,Lightweight Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
AdrianoSantos,Middleweight,,0,0,0,0,44.7,21,2,21,47,0,,0,,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,,Middleweight Division,nan-nan,21.0,,30.0,0.0,55.3,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
AdrianDiaz,Featherweight,,0,0,0,0,66.7,10,1,10,15,0,,0,,,,,,,,,,,,,,,,,Active,,,37.0,"5' 10""",145 lbs,,,,Team Alpha Male,,,,,,Featherweight Division,nan-nan,10.0,,15.0,0.0,33.3,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
AdrianSerrano,,,0,0,0,0,69.6,55,0,55,79,0,,0,,,,,,,,,,,,,,,,,Active,,,,,,,,,,,,,,,nan Division,nan-nan,55.0,,0.0,0.0,30.4,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
AdrianYanez,Bantamweight,,0,0,0,0,42.0,432,0,432,1029,0,,7,,,,,,,,,,,,,,,,,Active,,,31.0,"5' 7""",136 lbs,,,"70""",Metro Fight Club,,,,,,Bantamweight Division,nan-nan,432.0,,0.0,0.0,58.0,0,105.0,0,,,,,,,0,0,No,,Mixed Martial Arts
AhejiangAilinuer,Featherweight,,0,0,0,0,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,,,,"5' 10""",145 lbs,,,"70""",,,,,,,Featherweight Division,nan-nan,0.0,,0.0,0.0,0,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
AhmadHassanzada,Lightweight,,0,0,0,0,51.6,132,4,132,256,0,,0,,,,,,,,,,,,,,,,,Active,,,28.0,"6' 1""",155 lbs,,,"75""",Team Alpha Male,,,,,,Lightweight Division,nan-nan,132.0,,60.0,0.0,48.4,0,0.0,0,,,,,,,0,0,No,,Mixed Martial Arts
AiemannZahabi,Featherweight,,0,0,0,0,47.6,485,1,485,1019,0,,3,,,,,,,,,,,,,,,,,Active,,,37.0,"5' 8""",142 lbs,,,"68.5""",TriStar Gym,,,,,,Featherweight Division,nan-nan,485.0,,15.0,0.0,52.4,0,45.0,0,,,,,,,0,0,No,,Mixed Martial Arts
AilinPerez,Women's Bantamweight,,0,0,0,0,65.6,462,23,462,704,0,,1,,,,,,,,,,,,,,,,,Active,,,30.0,"5' 5""",135 lbs,,,"66""",The Goat Shed,,,,,,Women's Bantamweight Division,nan-nan,462.0,,345.0,0.0,34.4,0,15.0,0,,,,,,,0,0,No,,Mixed Martial Arts
