Name,Division Tr,Division Rk,Wins by Kn,Wins by Su,First Roun,Wins by De,Striking ac,Sig. Strike,Takedownr,Sig. Str. La,Sig. Str. At,Submissio,Sig. Str. De,Knockdow,Average Sig,Event_1_H,Event_1_D,Event_1_R,Event_1_Ti,Event_1_M,Event_2_H,Event_2_D,Event_2_R,Event_2_Ti,Event_2_M,Event_3_H,Event_3_D,Event_3_R,Event_3_Ti,Event_3_M,Status,Place_ct,Fighting_s,Age,Height,Weight,Octagon_Reach,Leg_reach,Reach,Trains_at,Fight,Win,Title,Defeat,Former Champion
Domingo Pilarte,Bantamweight,8-3-0,2,4,0,8,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,USA,Southpaw,35,"6' 0""",136 lbs,,,"74""",Revolution Dojo,,,,,
Dominick Cruz,Bantamweight,24-4-0,7,1,0,24,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,USA,Orthodox,40,"5' 8""",135 lbs,,,"68""",Alliance MMA,,,,,
Dominick Reyes,Light Heavyweight,15-4-0,10,2,0,15,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,USA,Southpaw,35,"6' 4""",206 lbs,,,"77""",Joe Stevenson's Cobra Kai,,,,,
Dominic Waters,Welterweight,9-6-0,3,2,0,9,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,USA,Orthodox,36,"6' 1""",170 lbs,,,"79""",Nor-Cal Fighting Alliance,,,,,
Dominique Steele,Welterweight,17-11-0,5,3,0,17,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,USA,Orthodox,37,"5' 10""",170 lbs,,,"74""",Team Vision,,,,,
Don'Tale Mayes,Heavyweight,11-9-0,6,1,0,11,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,USA,Orthodox,33,"6' 6""",260 lbs,,,"81""",Jackson-Wink MMA,,,,,
Donald Cerrone,Lightweight,36-17-0,10,17,0,36,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,USA,Orthodox,42,"6' 1""",170 lbs,,,"73""",BMF Ranch,,,,,
Donavon Frelow,Bantamweight,6-5-0,0,4,0,6,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,USA,Orthodox,40,"5' 6""",135 lbs,,,"64""",Wand Fight Team,,,,,
DongHun Choi,Flyweight,9-0-0,4,0,0,9,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,Korea,Switch,26,"5' 5""",125 lbs,,,"66""",Pohang Team MAD,,,,,
Dongi Yang,Middleweight,13-3-0,12,1,0,13,,0,0,0,0,0,,0,,,,,,,,,,,,,,,,,Active,South Korea,Southpaw,40,"5' 11""",185 lbs,,,"71""",Korean Top Team,,,,,
