Player,Date,Opponent,Event,Result,SCBL,SCBA,SCHL,SCHA,SCLL,SCLA,RV,SR,TDL,TDA,TDS,TK ACC
Reinierde Ridder,"Mar 1, 2024",Anatoly Malykhin,ONE 166,L,-,-,-,-,-,-,-,-,-,-,-,-
Reinierde Ridder,"Dec 2, 2022",Anatoly Malykhin,ONE on Prime Video 5,L,-,-,-,-,-,-,-,-,-,-,-,-
Reinierde Ridder,"Jul 22, 2022",Vitaly Bigdash,ONE Championship 159,W,-,-,-,-,-,-,-,-,-,-,-,-
Reinierde Ridder,"Feb 25, 2022",Kiamrian Abbasov,ONE Championship,W,-,-,-,-,-,-,-,-,-,-,-,-
Reinierde Ridder,"Apr 28, 2021",Aung La N Sang,ONE On TNT 4,W,-,-,-,-,-,-,-,-,-,-,-,-
Reinierde Ridder,"Oct 31, 2020",Aung La N Sang,ONE Championship,W,-,-,-,-,-,-,-,-,-,-,-,-
Reinierde Ridder,"Feb 7, 2020",Leandro Ataides,ONE Championship,W,-,-,-,-,-,-,-,-,-,-,-,-
Reinierde Ridder,"Jun 15, 2019",Gilberto Galvão,ONE Championship,W,-,-,-,-,-,-,-,-,-,-,-,-
Reinierde Ridder,"Jan 25, 2019",Rong Fan,ONE Championship 88,W,-,-,-,-,-,-,-,-,-,-,-,-
Reinierde Ridder,"Mar 10, 2018",Warren Allison,EFC 67,W,-,-,-,-,-,-,-,-,-,-,-,-
Reinierde Ridder,"Oct 21, 2017",Shota Gvasalia,Hit-FC,W,-,-,-,-,-,-,-,-,-,-,-,-
Reinierde Ridder,"May 27, 2017",Jaouad Ikan,WFL MMA,W,-,-,-,-,-,-,-,-,-,-,-,-
Reinierde Ridder,"Apr 8, 2017",Lamine Talbi,360 Promotion,W,-,-,-,-,-,-,-,-,-,-,-,-
Reinierde Ridder,"Mar 11, 2017",Marcus Plodek,Superior FC 16,W,-,-,-,-,-,-,-,-,-,-,-,-
Reinierde Ridder,"Oct 29, 2016",Alexander Heinrich,Superior FC 15,W,-,-,-,-,-,-,-,-,-,-,-,-
Reinierde Ridder,"May 21, 2016",Michaelis Efstratiou,Superior FC 14,W,-,-,-,-,-,-,-,-,-,-,-,-
Reinierde Ridder,"Oct 10, 2015",Rene Hoppe,Rostocker & Benefiz Fight Night,W,-,-,-,-,-,-,-,-,-,-,-,-
Reinierde Ridder,"Jun 1, 2013",Marco Wuest,GFC,W,-,-,-,-,-,-,-,-,-,-,-,-
RobertWhittaker,"Jul 26, 2025",Reinier de Ridder,UFC Fight Night,L,0,0,4,5,0,0,0,0.000,0,0,0,0%
RobertWhittaker,"Oct 26, 2024",Khamzat Chimaev,UFC 308,L,0,0,0,0,0,0,0,0.000,0,0,0,0%
RobertWhittaker,"Jun 22, 2024",Ikram Aliskerov,UFC Fight Night,W,0,0,0,0,0,0,0,0.000,0,0,0,0%
RobertWhittaker,"Feb 17, 2024",Paulo Costa,UFC 298,W,0,0,0,3,0,0,0,0.000,0,1,0,0%
RobertWhittaker,"Jul 8, 2023",Dricus Du Plessis,UFC 290,L,0,0,2,2,0,0,0,0.000,1,1,0,100%
RobertWhittaker,"Sep 3, 2022",Marvin Vettori,UFC Fight Night,W,0,0,0,0,0,0,0,0.000,1,1,0,100%
RobertWhittaker,"Feb 12, 2022",Israel Adesanya,UFC 271,L,1,1,4,5,0,0,0,0.000,4,10,0,40%
RobertWhittaker,"Apr 17, 2021",Kelvin Gastelum,UFC Fight Night,W,2,2,3,5,0,0,0,0.000,4,7,0,57%
RobertWhittaker,"Oct 24, 2020",Jared Cannonier,UFC 254,W,0,0,1,2,0,0,0,0.000,0,2,0,0%
RobertWhittaker,"Jul 25, 2020",Darren Till,UFC Fight Night,W,2,2,5,9,0,0,0,0.000,2,13,0,15%
RobertWhittaker,"Oct 5, 2019",Israel Adesanya,UFC 243,L,0,0,0,0,0,0,0,0.000,0,0,0,0%
RobertWhittaker,"Jun 9, 2018",Yoel Romero,UFC 225,W,3,4,6,12,0,1,0,0.000,0,1,0,0%
RobertWhittaker,"Jul 8, 2017",Yoel Romero,UFC 213,W,5,6,1,5,1,1,0,0.000,0,0,0,0%
RobertWhittaker,"Apr 15, 2017",Jacare Souza,UFC Fight Night,W,0,0,1,4,0,0,0,0.000,0,0,0,0%
RobertWhittaker,"Nov 26, 2016",Derek Brunson,UFC Fight Night,W,1,1,6,9,0,0,0,0.000,0,0,0,0%
RobertWhittaker,"Apr 23, 2016",Rafael Natal,UFC 197,W,0,0,2,4,0,0,0,0.000,0,0,0,0%
RobertWhittaker,"Nov 14, 2015",Uriah Hall,UFC 193,W,2,2,9,14,1,1,0,0.000,1,2,0,50%
RobertWhittaker,"May 9, 2015",Brad Tavares,UFC Fight Night,W,0,0,0,0,0,0,0,0.000,0,0,0,0%
RobertWhittaker,"Nov 7, 2014",Clint Hester,UFC Fight Night,W,0,0,2,6,0,0,0,0.000,1,2,0,50%
RobertWhittaker,"Jun 28, 2014",Mike Rhodes,UFC Fight Night,W,1,1,1,2,1,1,0,0.000,1,1,0,100%
RobertWhittaker,"Feb 22, 2014",Stephen Thompson,UFC 170,L,0,0,1,2,0,0,0,0.000,0,0,0,0%
RobertWhittaker,"Aug 28, 2013",Court McGee,UFC Fight Night,L,0,0,1,3,0,0,0,0.000,0,0,0,0%
RobertWhittaker,"May 25, 2013",Colton Smith,UFC 160,W,0,0,11,22,0,0,0,0.000,1,1,0,100%
RobertWhittaker,"Dec 14, 2012",Bradley Scott,UFC on FX,W,9,13,6,9,2,2,0,0.000,0,0,0,0%
RobertWhittaker,"Dec 5, 2012",Xavier Lucas,The Ultimate Fighter,W,-,-,-,-,-,-,-,-,-,-,-,-
RobertWhittaker,"May 18, 2012",Jesse Juarez,CFC 21,L,-,-,-,-,-,-,-,-,-,-,-,-
RobertWhittaker,"Mar 23, 2012",Shaun Spooner,SA,W,-,-,-,-,-,-,-,-,-,-,-,-
